Image,X,Y
p000125.jpg,85231.464,446938.907
p000126.jpg,85230.577,446937.835
p000127.jpg,85229.730,446936.848
p000128.jpg,85228.838,446935.841
p000129.jpg,85228.026,446934.757
p000130.jpg,85227.213,446933.791
p000131.jpg,85226.229,446933.200
p000132.jpg,85225.293,446933.382
p000133.jpg,85224.840,446933.805
p000134.jpg,85224.479,446934.029
p000135.jpg,85224.087,446934.432
p000136.jpg,85223.864,446934.821
p000137.jpg,85223.664,446934.717
p000138.jpg,85223.371,446934.554
p000139.jpg,85222.779,446934.918
p000140.jpg,85222.283,446935.563
p000141.jpg,85222.214,446936.341
p000142.jpg,85222.590,446937.075
p000143.jpg,85223.289,446937.887
p000144.jpg,85224.037,446938.720
p000145.jpg,85224.786,446939.588
p000146.jpg,85225.506,446940.472
p000147.jpg,85226.187,446941.329
p000148.jpg,85226.815,446942.170
p000149.jpg,85227.427,446942.425
p000150.jpg,85227.038,446942.266
p000151.jpg,85226.571,446941.731
p000152.jpg,85225.890,446940.932
p000153.jpg,85225.071,446940.110
p000154.jpg,85224.344,446939.292
p000155.jpg,85223.585,446938.476
p000156.jpg,85222.798,446937.587
p000157.jpg,85222.261,446936.693
p000158.jpg,85222.333,446935.769
p000159.jpg,85222.992,446935.076
p000160.jpg,85223.756,446934.477
p000161.jpg,85224.135,446934.243
p000162.jpg,85223.890,446934.542
p000163.jpg,85224.357,446934.082
p000164.jpg,85225.005,446933.384
p000165.jpg,85225.391,446932.706
p000166.jpg,85224.979,446932.070
p000167.jpg,85224.295,446931.283
p000168.jpg,85223.709,446930.522
p000169.jpg,85223.038,446929.655
p000170.jpg,85222.247,446928.748
p000171.jpg,85221.533,446927.874
p000172.jpg,85220.835,446927.007
p000173.jpg,85220.077,446926.088
p000174.jpg,85219.327,446925.276
p000175.jpg,85218.619,446924.527
p000176.jpg,85218.018,446923.838
p000177.jpg,85217.439,446923.815
p000178.jpg,85216.953,446924.333
p000179.jpg,85216.531,446924.931
p000180.jpg,85216.258,446925.488
p000181.jpg,85215.991,446926.002
p000182.jpg,85215.889,446926.681
p000183.jpg,85215.554,446927.450
p000184.jpg,85214.842,446928.088
p000185.jpg,85214.107,446928.681
p000186.jpg,85213.861,446929.316
p000187.jpg,85214.069,446929.741
p000188.jpg,85214.509,446930.277
p000189.jpg,85215.015,446930.921
p000190.jpg,85215.428,446931.367
p000191.jpg,85215.895,446931.886
p000192.jpg,85216.484,446932.504
p000193.jpg,85217.149,446932.847
p000194.jpg,85217.545,446932.531
p000195.jpg,85218.164,446932.037
p000196.jpg,85218.872,446931.464
p000197.jpg,85219.281,446930.858
p000198.jpg,85218.950,446930.530
p000199.jpg,85218.464,446929.943
p000200.jpg,85217.770,446929.229
p000201.jpg,85217.170,446928.518
p000202.jpg,85216.568,446927.729
p000203.jpg,85216.076,446926.867
p000204.jpg,85216.017,446925.958
p000205.jpg,85216.329,446925.074
p000206.jpg,85216.930,446924.303
p000207.jpg,85217.502,446923.645
p000208.jpg,85217.431,446923.013
p000209.jpg,85217.026,446922.461
p000210.jpg,85216.474,446921.705
p000211.jpg,85215.892,446921.155
p000212.jpg,85215.375,446921.017
p000213.jpg,85214.958,446920.667
p000214.jpg,85214.360,446919.857
p000215.jpg,85213.653,446918.920
p000216.jpg,85212.930,446918.032
p000217.jpg,85212.256,446917.102
p000218.jpg,85211.563,446916.226
p000219.jpg,85210.869,446915.434
p000220.jpg,85210.180,446914.655
p000221.jpg,85209.510,446913.857
p000222.jpg,85208.828,446912.988
p000223.jpg,85208.100,446912.171
p000224.jpg,85207.338,446911.342
p000225.jpg,85206.620,446910.437
p000226.jpg,85205.867,446909.548
p000227.jpg,85205.136,446908.676
p000228.jpg,85204.418,446907.830
p000229.jpg,85203.806,446906.924
p000230.jpg,85203.167,446905.992
p000231.jpg,85202.565,446905.225
p000232.jpg,85201.750,446904.658
p000233.jpg,85200.853,446904.678
p000234.jpg,85200.355,446904.957
p000235.jpg,85199.982,446905.154
p000236.jpg,85199.627,446905.291
p000237.jpg,85198.998,446905.132
p000238.jpg,85198.907,446904.915
p000239.jpg,85198.718,446904.163
p000240.jpg,85198.220,446903.531
