Image,X,Y
p000098.jpg,85249.11047,446967.1497
p000099.jpg,85249.78256,446966.4981
p000100.jpg,85250.35805,446965.8013
p000101.jpg,85250.13818,446964.9399
p000102.jpg,85249.60126,446964.1204
p000103.jpg,85248.90689,446963.2417
p000104.jpg,85248.25218,446962.3924
p000105.jpg,85247.47331,446961.5066
p000106.jpg,85246.76935,446960.6351
p000107.jpg,85246.0295,446959.7338
p000108.jpg,85245.27367,446958.9115
p000109.jpg,85244.6302,446958.0317
p000110.jpg,85243.92331,446957.1095
p000111.jpg,85243.20969,446956.2416
p000112.jpg,85242.54173,446955.3848
p000113.jpg,85241.87125,446954.4802
p000114.jpg,85241.15878,446953.5392
p000115.jpg,85240.41103,446952.6528
p000116.jpg,85239.55382,446951.7228
p000117.jpg,85238.81224,446950.7478
p000118.jpg,85238.03857,446949.7491
p000119.jpg,85237.34966,446948.7011
p000120.jpg,85236.5177,446947.6371
p000121.jpg,85235.62743,446946.5876
p000122.jpg,85234.84866,446945.5765
p000123.jpg,85233.95117,446944.5485
p000124.jpg,85233.11282,446943.5728
p000125.jpg,85232.28845,446942.5136
p000126.jpg,85231.42003,446941.4268
p000127.jpg,85230.59053,446940.4251
p000128.jpg,85229.71622,446939.4026
p000129.jpg,85228.92232,446938.3041
p000130.jpg,85228.12685,446937.3243
p000131.jpg,85227.15271,446936.7166
p000132.jpg,85226.21426,446936.8822
p000133.jpg,85225.75372,446937.2971
p000134.jpg,85225.38939,446937.5147
p000135.jpg,85224.98955,446937.9108
p000136.jpg,85224.76041,446938.2959
p000137.jpg,85224.56248,446938.1884
p000138.jpg,85224.27214,446938.0212
p000139.jpg,85223.67392,446938.3741
p000140.jpg,85223.16698,446939.0108
p000141.jpg,85223.08379,446939.7875
p000142.jpg,85223.44753,446940.5275
p000143.jpg,85224.13197,446941.3514
p000144.jpg,85224.86548,446942.1976
p000145.jpg,85225.59959,446943.0782
p000146.jpg,85226.30377,446943.9749
p000147.jpg,85226.97041,446944.844
p000148.jpg,85227.58347,446945.6957
p000149.jpg,85228.19122,446945.9609
p000150.jpg,85227.80502,446945.7957
p000151.jpg,85227.3472,446945.2518
p000152.jpg,85226.67995,446944.4417
p000153.jpg,85225.87494,446943.6053
p000154.jpg,85225.16283,446942.7753
p000155.jpg,85224.41827,446941.9459
p000156.jpg,85223.64656,446941.0431
p000157.jpg,85223.12521,446940.1398
p000158.jpg,85223.21298,446939.2174
p000159.jpg,85223.88441,446938.5366
p000160.jpg,85224.65778,446937.9506
p000161.jpg,85225.04126,446937.7236
p000162.jpg,85224.79083,446938.0175
p000163.jpg,85225.26575,446937.5656
p000164.jpg,85225.92603,446936.8792
p000165.jpg,85226.32413,446936.2078
p000166.jpg,85225.92249,446935.5646
p000167.jpg,85225.25247,446934.7661
p000168.jpg,85224.67973,446933.9953
p000169.jpg,85224.02402,446933.1172
p000170.jpg,85223.2493,446932.1962
p000171.jpg,85222.55002,446931.3101
p000172.jpg,85221.86771,446930.4313
p000173.jpg,85221.12491,446929.4987
p000174.jpg,85220.38979,446928.6741
p000175.jpg,85219.69516,446927.9124
p000176.jpg,85219.1058,446927.2136
p000177.jpg,85218.52731,446927.1808
p000178.jpg,85218.03275,446927.6903
p000179.jpg,85217.60016,446928.2803
p000180.jpg,85217.31689,446928.8327
p000181.jpg,85217.04163,446929.3417
p000182.jpg,85216.92793,446930.0195
p000183.jpg,85216.57951,446930.7818
p000184.jpg,85215.85693,446931.4075
p000185.jpg,85215.11153,446931.9874
p000186.jpg,85214.85413,446932.6183
p000187.jpg,85215.05531,446933.0473
p000188.jpg,85215.48511,446933.5908
p000189.jpg,85215.98076,446934.243
p000190.jpg,85216.38538,446934.6964
p000191.jpg,85216.8434,446935.2239
p000192.jpg,85217.42172,446935.8518
p000193.jpg,85218.08047,446936.2062
p000194.jpg,85218.48195,446935.8972
p000195.jpg,85219.10966,446935.4143
p000196.jpg,85219.82774,446934.8534
p000197.jpg,85220.24692,446934.2541
p000198.jpg,85219.92111,446933.9204
p000199.jpg,85219.44586,446933.3251
p000200.jpg,85218.76389,446932.5993
p000201.jpg,85218.17642,446931.8781
p000202.jpg,85217.58804,446931.0786
p000203.jpg,85217.11192,446930.2083
p000204.jpg,85217.06798,446929.2982
p000205.jpg,85217.39572,446928.4204
p000206.jpg,85218.00964,446927.6593
p000207.jpg,85218.59299,446927.0114
p000208.jpg,85218.53326,446926.3782
p000209.jpg,85218.13811,446925.8199
p000210.jpg,85217.59927,446925.0545
p000211.jpg,85217.0267,446924.4938
p000212.jpg,85216.51262,446924.3468
p000213.jpg,85216.10078,446923.9899
p000214.jpg,85215.51694,446923.1692
p000215.jpg,85214.82652,446922.2204
p000216.jpg,85214.11887,446921.3202
p000217.jpg,85213.46146,446920.3787
p000218.jpg,85212.78387,446919.4904
p000219.jpg,85212.10373,446918.6862
p000220.jpg,85211.42853,446917.8961
p000221.jpg,85210.77267,446917.0865
p000222.jpg,85210.10535,446916.2054
p000223.jpg,85209.39195,446915.3764
p000224.jpg,85208.64389,446914.5337
p000225.jpg,85207.94249,446913.6162
p000226.jpg,85207.20432,446912.7152
p000227.jpg,85206.48914,446911.8302
p000228.jpg,85205.7854,446910.972
p000229.jpg,85205.18939,446910.0553
p000230.jpg,85204.56636,446909.1121
p000231.jpg,85203.97797,446908.3355
p000232.jpg,85203.17316,446907.7542
p000233.jpg,85202.2756,446907.7583
p000234.jpg,85201.77286,446908.0287
p000235.jpg,85201.39711,446908.219
p000236.jpg,85201.03952,446908.3502
p000237.jpg,85200.41325,446908.1797
p000238.jpg,85200.32602,446907.9618
p000239.jpg,85200.15009,446907.2069
p000240.jpg,85199.66335,446906.5657
p000241.jpg,85199.13527,446905.8542
p000242.jpg,85198.67737,446905.3671
p000243.jpg,85198.13658,446904.7184
p000244.jpg,85197.70718,446904.1434
p000245.jpg,85197.17654,446903.6421
p000246.jpg,85196.8479,446903.371
