ID,x,y
390,1.558,-13.54
391,1.351,-13.349
392,1.706,-13.682
393,1.591,-13.568
394,0.242,-12.709
395,15.785,-25.248
396,24.829,-17.302
397,9.074,0.234
398,16.19,-9.35
399,3.302,-5.852
400,3.612,-5.514
401,3.654,-5.472
402,3.434,-5.718
403,3.724,-5.411
404,-0.034,-12.07
405,-0.033,-12.101
406,-0.38,-11.754
407,-0.742,-11.435
408,18.405,-28.053
409,15.845,-25.236
410,-0.33,-11.808
411,9.141,0.281
412,9.616,0.261
413,13.107,-22.715
414,8.92,0.117
415,12.939,-22.641
416,12.772,-22.514
417,11.411,-1.629
418,11.312,-21.539
419,11.742,-21.816
420,11.768,-21.765
421,12.204,-22.022
422,12.261,-22.056
423,13.502,-23.221
424,11.274,-21.128
425,14.712,-24.277
426,2.633,-6.575
427,2.255,-6.981
428,2.809,-13.333
429,0.638,-13.09
430,0.319,-12.766
431,10.97,-21.169
432,10.682,-20.588
433,10.503,-20.408
434,10.572,-20.472
435,10.268,-20.193
436,10.097,-20.033
437,10.177,-20.122
438,9.877,-19.825
439,9.71,-19.688
440,9.792,-19.767
441,15.963,-25.805
442,12.55,-22.308
443,11.349,-1.494
444,16.521,-25.942
445,15.819,-25.235
446,9.062,-19.062
447,8.861,-18.983
448,4.143,-5.652
449,2.526,-6.678
450,2.532,-6.656
451,2.223,-6.992
452,2.039,-7.208
453,1.863,-7.384
454,1.65,-7.612
455,1.513,-7.767
456,1.061,-8.26
457,0.043,-9.331
458,-0.175,-9.572
459,-0.482,-9.902
460,-1.117,-10.586
461,13.378,-23.078
462,1.096,-8.211
463,-0.216,-9.635
464,-0.649,-10.099
465,-1.034,-10.518
466,-1.011,-10.483
467,-1.275,-10.77
468,-1.16,-11.026
469,13.564,-6.326
470,13.546,-6.38
471,3.067,-6.079
472,8.721,-18.744
473,13.01,-6.115
474,8.999,-19.401
475,20.878,-26.784
476,11.493,-5.016
477,8.556,-18.591
478,8.5,-18.492
479,13.198,-23.214
480,11.315,-21.062
481,9.435,-19.798
482,2.614,-13.521
483,2.842,-6.334
484,12.591,-22.352
485,0.174,-9.204
486,0.387,-8.967
487,43.785,-36.364
488,21.857,-25.775
489,0.409,-8.964
490,11.321,-4.899
491,11.239,-4.915
492,12.657,-5.764
493,19.817,-12.378
494,-0.226,-12.712
495,35.096,-28.503
496,36.272,-29.626
497,33.91,-27.6
498,26.972,-19.375
499,21.01,-13.84
500,18.09,-10.486
501,15.857,-8.369
502,20.244,-12.638
503,20.343,-12.497
504,17.517,-10.258
505,18.058,-10.502
506,16.572,-9.719
507,16.582,-9.734
508,15.827,-8.403
509,15.282,-8.195
510,15.898,-8.35
511,14.129,-7.471
512,22.015,-14.43
513,17.209,-9.974
514,0.604,-8.747
515,0.544,-8.81
516,-0.186,-12.47
517,2.451,-14.385
518,0.787,-8.554
519,0.756,-8.577
520,-0.256,-12.713
521,7.356,-17.565
522,5.968,-16.245
523,7.97,-18.068
524,7.589,-17.743
525,6.344,-16.482
526,5.908,-16.188
527,5.462,-15.785
528,5.096,-15.336
529,4.692,-15.04
530,4.524,-14.835
531,5.488,-15.819
532,5.158,-15.42
533,4.839,-15.113
534,4.32,-14.678
535,4.48,-14.785
536,4.106,-14.426
537,4.074,-14.819
538,6.943,-17.049
539,6.322,-16.482
540,6.804,-16.904
541,5.573,-15.886
542,4.962,-15.653
543,12.981,-6.007
544,15.206,-8.115
545,34.103,-27.567
546,13.061,-6.142
547,18.033,-27.361
548,71.969,-62.628
549,38.508,-31.404
550,27.011,-19.383
551,8.1,-18.216
552,7.732,-17.88
553,7.33,-17.551
554,6.068,-16.38
555,7.048,-17.258
556,2.117,3.813
557,13.218,-7.323
558,34.28,-31.64
559,28.837,-26.202
560,36.118,-33.486
561,35.764,-32.928
562,62.043,-57.261
563,57.478,-52.98
564,52.318,-48.227
565,53.027,-49.034
566,49.468,-45.67
567,48.351,-44.65
568,41.695,-38.54
569,9.23,-6.75
570,36.322,-33.674
571,33.292,-30.647
572,32.614,-30.242
573,32.016,-29.688
574,41.891,-38.821
575,6.93,-9.233
576,67.255,-62.032
577,63.997,-59.169
578,4.431,-11.957
579,7.24,-8.913
580,46.91,-43.337
581,6.789,-16.963
582,6.764,-9.428
583,48.509,-44.86
584,33.161,-30.59
585,30.437,-27.948
586,42.836,-39.401
587,9.284,-19.269
588,13.118,-22.812
589,13.689,-23.339
590,5.236,-11.065
591,4.645,-15.374
592,6.193,-10.046
593,6.51,-16.668
594,59.578,-54.958
595,17.706,-26.953
596,56.835,-48.315
597,52.773,-44.622
598,51.854,-43.683
599,36.784,-29.988
600,36.357,-29.496
601,31.4,-24.93
602,33.033,-26.302
603,33.598,-26.826
604,34.195,-27.379
605,19.359,-11.977
606,37.404,-30.539
607,39.17,-32.17
608,44.602,-37.076
609,14.761,-7.707
610,22.58,-14.544
611,24.825,-16.629
612,24.249,-16.432
613,32.385,-25.77
614,31.395,-25.017
615,32.478,-25.872
616,30.841,-24.346
617,26.25,-21.371
618,26.513,-18.554
619,24.904,-17.407
620,24.825,-16.645
621,17.798,-27.076
622,32.586,-25.919
623,30.634,-24.106
624,22.621,-14.564
625,21.629,-14.044
626,30.962,-24.453
627,12.295,-5.421
628,12.369,-5.445
629,34.936,-28.077
630,27.103,-18.645
631,34.689,-27.822
632,30.182,-23.626
633,35.986,-28.948
634,33.795,-26.973
635,15.604,-25.015
636,30.259,-23.774
637,15.447,-24.895
638,14.271,-7.668
639,33.155,-26.454
640,33.568,-26.831
641,14.321,-7.655
642,33.312,-26.555
643,31.409,-24.939
644,26.305,-18.429
645,32.131,-25.546
646,32.082,-25.517
647,22.146,-25.455
648,29.663,-23.217
649,27.039,-18.699
650,23.855,-16.103
651,29.598,-23.172
652,10.996,-20.798
653,29.523,-23.147
654,30.049,-23.594
655,29.22,-22.789
656,13.777,-23.433
657,29.138,-22.772
658,26.087,-18.168
659,14.663,-7.286
660,14.676,-7.265
661,14.659,-7.27
662,8.45,-18.884
663,11.568,-21.35
664,8.279,-18.721
665,19.07,-11.611
666,16.925,-9.346
667,16.912,-9.349
668,16.927,-9.349
669,25.528,-22.144
670,28.8,-22.389
671,28.771,-22.365
672,28.806,-22.416
673,19.153,-11.407
674,16.061,-25.513
675,15.264,-25.194
676,19.164,-11.391
677,25.653,-17.996
678,9.505,-19.412
679,36.174,-29.167
680,36.855,-29.922
681,38.363,-31.301
682,39.578,-32.402
683,40.504,-33.319
684,41.797,-34.525
685,42.663,-35.314
686,43.78,-36.306
687,45.605,-37.861
688,51.901,-43.631
689,37.794,-30.908
690,39.942,-32.801
691,50.636,-42.524
692,45.606,-37.875
693,59.756,-51.069
694,38.812,-31.882
695,40.792,-33.762
696,40.063,-33.082
697,21.439,-13.424
698,37.486,-30.556
699,21.406,-13.463
700,21.401,-13.487
701,42.396,-34.983
702,71.568,-62.97
703,36.71,-29.862
704,70.614,-64.034
705,45.957,-38.228
706,34.566,-27.735
707,32.799,-26.071
708,53.54,-45.148
709,35.196,-28.343
710,55.486,-46.935
711,55.829,-47.255
712,52.889,-44.481
713,42.21,-35.042
714,43.042,-35.807
715,71.065,-63.52
716,31.185,-24.649
717,32.826,-26.161
718,18.377,-27.604
719,18.366,-27.576
720,51.822,-43.713
721,54.814,-46.98
722,23.612,-15.599
723,23.633,-15.565
724,37.986,-30.955
725,50.958,-42.85
726,51.996,-47.984
727,35.099,-32.505
728,32.51,-30.144
729,33.695,-31.027
730,36.02,-33.291
731,41.157,-34.083
732,50.875,-47.17
733,54.815,-47.031
734,34.581,-28.083
735,31.047,-28.692
736,31.369,-29.109
737,31.217,-28.958
738,31.654,-29.336
739,32.152,-29.828
740,30.442,-28.149
741,52.743,-44.658
742,29.994,-27.754
743,42.807,-35.489
744,28.439,-22.079
745,28.997,-26.735
746,30.008,-27.721
747,29.182,-26.921
748,57.453,-53.052
749,38.629,-31.682
750,28.436,-22.088
751,25.752,-17.81
752,25.768,-17.806
753,28.897,-26.706
754,28.561,-26.491
755,28.494,-26.431
756,28.19,-26.137
757,28.143,-26.097
758,53.218,-49.195
759,55.875,-47.477
760,53.17,-44.972
761,27.78,-25.772
762,68.42,-63.025
763,70.242,-64.389
764,36.296,-33.632
765,45.913,-38.245
766,40.412,-32.947
767,27.47,-25.505
768,55.359,-51.199
769,44.188,-36.64
770,55.1,-50.962
771,27.208,-25.247
772,61.314,-56.634
773,60.097,-55.521
774,58.924,-54.444
775,50.973,-47.053
776,49.687,-45.923
777,26.89,-24.96
778,27.191,-25.238
779,27.389,-25.419
780,27.025,-25.083
781,35.565,-32.927
782,27.818,-25.811
783,26.745,-24.825
784,29.334,-27.114
785,27.759,-25.766
786,26.438,-24.552
787,26.634,-24.719
788,39.745,-32.721
789,52.693,-48.668
790,48.715,-45.025
