id,x,y
1424,85213.8013,446917.5898
1425,85224.8188,446930.863
1426,85214.49249,446918.4827
1427,85206.52521,446909.0383
1428,85227.71111,446934.5204
1429,85225.5874,446931.577
1430,85224.53239,446947.9958
1431,85224.55009,446948.0495
1432,85224.53661,446947.9686
1433,85224.36839,446947.774
1434,85224.2308,446947.5793
1435,85223.9637,446947.2543
1436,85224.1904,446947.5569
1437,85223.87131,446947.2818
1438,85223.9821,446947.2811
1439,85223.84241,446947.3293
1440,85224.7823,446930.5375
1441,85224.8765,446948.3785
1442,85224.8714,446948.3658
1443,85225.0343,446948.9761
1444,85224.87331,446948.3588
1445,85223.647,446947.486
1446,85223.33099,446946.9136
1447,85223.4178,446947.0046
1448,85225.7101,446932.1595
1449,85226.0442,446949.3613
1450,85225.7066,446949.7465
1451,85223.0927,446945.837
1452,85222.7939,446945.3779
1453,85222.97189,446945.676
1454,85223.0733,446945.7923
1455,85222.9888,446946.4932
1456,85222.7623,446945.38
1457,85222.96069,446945.655
1458,85222.8252,446945.4727
1459,85222.5818,446945.2247
1460,85222.28979,446944.8052
1461,85222.3194,446944.8973
1462,85222.5898,446945.2521
1463,85221.888,446944.5199
1464,85221.9054,446944.4924
1465,85222.20821,446944.7717
1466,85222.2872,446944.7885
1467,85222.0405,446944.6899
1468,85221.3813,446944.5489
1469,85220.98689,446944.0613
1470,85221.4882,446944.769
1471,85221.1118,446944.2332
1472,85220.8148,446943.4118
1473,85220.66229,446943.2198
1474,85220.84419,446943.4561
1475,85220.68941,446943.2595
1476,85220.9301,446943.4351
1477,85225.7668,446937.791
1478,85220.3497,446942.8509
1479,85220.2881,446942.7805
1480,85220.9736,446943.6152
1481,85220.39349,446942.915
1482,85220.3031,446942.8001
1483,85220.2123,446942.696
1484,85223.0419,446946.5743
1485,85226.0031,446938.0483
1486,85225.71831,446937.6388
1487,85219.77811,446942.6111
1488,85219.80769,446942.6146
1489,85219.991,446942.5065
1490,85221.78819,446944.4231
1491,85227.31371,446939.5904
1492,85226.8119,446938.9749
1493,85226.9866,446939.1872
1494,85226.4032,446938.4732
1495,85219.45889,446942.2169
1496,85219.5506,446942.3273
1497,85228.38451,446940.907
1498,85219.24809,446941.1488
1499,85219.2464,446941.1187
1500,85219.2632,446941.0923
1501,85220.57471,446943.1174
1502,85225.1772,446949.1702
1503,85225.6216,446949.7403
1504,85225.8322,446949.6337
1505,85226.0701,446949.4493
1506,85226.04359,446949.4084
1507,85226.245,446949.8737
1508,85226.63091,446949.6541
1509,85226.7756,446949.524
1510,85227.1676,446949.2174
1511,85227.48019,446948.942
1512,85227.83771,446948.6676
1513,85228.1523,446948.4053
1514,85228.5076,446948.1212
1515,85229.0219,446947.6963
1516,85229.54649,446947.2687
1517,85230.0538,446946.8403
1518,85230.562,446946.4382
1519,85231.0484,446946.0267
1520,85231.5235,446945.6073
1521,85231.15221,446945.016
1522,85230.4245,446943.4599
1523,85229.61169,446942.4006
1524,85229.43781,446942.1879
1525,85228.30341,446940.7974
1526,85226.9463,446939.1475
1527,85226.6584,446938.7877
1528,85226.2186,446938.244
1529,85218.62601,446940.7628
1530,85218.8622,446940.61
1531,85218.68829,446940.7027
1532,85218.9072,446940.5844
1533,85219.1837,446941.072
1534,85219.1646,446941.8299
1535,85219.4306,446942.2315
1536,85225.3372,446949.3455
1537,85225.84669,446949.426
1538,85226.1727,446949.5388
1539,85226.32179,446949.8912
1540,85226.5775,446949.5306
1541,85227.4926,446948.9332
1542,85228.00951,446948.5182
1543,85228.43401,446948.1252
1544,85228.42931,446948.1106
1545,85228.7765,446947.8026
1546,85228.8665,446947.7857
1547,85229.1544,446947.5636
1548,85229.13699,446947.5397
1549,85229.4034,446947.3346
1550,85229.4913,446947.2713
1551,85229.69991,446947.1125
1552,85229.87669,446946.9636
1553,85230.0016,446946.8674
1554,85230.2021,446946.6848
1555,85230.3961,446946.5466
1556,85230.4839,446946.4442
1557,85230.70081,446946.2786
1558,85230.8889,446946.1154
1559,85230.9782,446946.0699
1560,85231.1676,446945.8497
1561,85231.4409,446945.6627
1562,85231.16209,446945.0139
1563,85231.1631,446945.0446
1564,85231.89059,446945.327
1565,85231.90041,446945.3224
1566,85231.9108,446945.3235
1567,85230.3616,446943.3585
1568,85229.9911,446942.8615
1569,85229.24091,446941.9474
1570,85228.5175,446941.0646
1571,85228.2029,446940.6782
1572,85227.80051,446940.1907
1573,85227.0674,446939.2869
1574,85220.552,446939.2079
1575,85220.5687,446939.1808
1576,85220.5896,446939.1885
1577,85220.0704,446939.6187
1578,85220.25841,446939.4751
1579,85220.1584,446939.5518
1580,85219.8493,446939.7985
1581,85219.44971,446940.0661
1582,85220.2368,446939.498
1583,85219.42149,446940.09
1584,85219.7944,446939.8365
1585,85219.30901,446940.1726
1586,85219.4724,446940.0316
1587,85219.0894,446940.3452
1588,85218.6597,446940.7637
1589,85219.2874,446941.2668
1590,85219.0269,446941.6514
1591,85231.3195,446944.4993
1592,85229.547,446942.3238
1593,85221.5493,446938.3631
1594,85221.5145,446938.3823
1595,85221.5146,446938.3719
1596,85221.3577,446938.5464
1597,85221.1008,446938.7519
1598,85221.1394,446938.7276
1599,85221.03191,446938.7934
1600,85220.9164,446938.9037
1601,85220.5583,446939.2108
1602,85219.9631,446939.6929
1603,85226.823,446949.4673
1604,85222.142,446937.8712
1605,85222.1344,446937.8731
1606,85222.1424,446937.8729
1607,85222.1232,446937.8499
1608,85221.7365,446938.2355
1609,85222.5551,446937.552
1610,85222.5307,446937.5173
1611,85225.0434,446936.8083
1612,85224.76649,446936.4658
1613,85222.8354,446937.3038
1614,85229.077,446941.7085
1615,85222.1199,446937.8687
1616,85230.2164,446943.1015
1617,85229.8667,446942.6938
1618,85230.2692,446943.1716
1619,85231.60471,446944.8124
1620,85222.52341,446937.5665
1621,85222.89951,446937.2627
1622,85223.4136,446936.8621
1623,85222.55949,446937.5478
1624,85222.9662,446937.2214
1625,85223.3591,446936.9062
1626,85223.4221,446936.8547
1627,85223.8134,446936.5187
1628,85223.2382,446936.9926
1629,85223.59331,446936.7197
1630,85223.6163,446936.6763
1631,85223.9221,446936.3855
1632,85225.55791,446937.3604
1633,85230.7357,446943.7271
1634,85224.27049,446936.0945
1635,85224.41769,446936.0035
1636,85224.29649,446936.0566
1637,85224.25259,446936.1109
1638,85231.42059,446945.7334
1639,85231.6414,446944.8267
1640,85218.6951,446941.5342
1641,85230.194,446943.0433
1642,85227.85741,446940.1986
1643,85218.7417,446941.5019
1644,85218.8573,446941.4047
1645,85221.17081,446944.242
1646,85220.8156,446943.8018
1647,85222.77361,446946.1685
1648,85222.7749,446946.1803
1649,85222.76939,446946.1589
1650,85226.2733,446949.929
1651,85226.1042,446932.6249
1652,85225.7216,446932.1802
1653,85210.93851,446914.0576
1654,85210.6778,446913.7947
1655,85208.6987,446911.3677
1656,85206.1752,446908.2748
1657,85218.35629,446922.946
1658,85208.883,446911.9573
1659,85215.33099,446919.4037
1660,85214.8419,446918.7584
1661,85215.24159,446919.24
1662,85223.2769,446934.616
1663,85223.8661,446934.8046
1664,85222.51289,446928.2537
1665,85223.4911,446934.8641
1666,85213.1463,446916.9256
1667,85204.70219,446911.4209
1668,85213.23421,446916.9651
